code,name_ja,name_en,population,gdp_nominal,gdp_ppp_per_capita,gdp_ppp,y_gdp,y_ppp,y_population,surface,population_density,y_net,net,y_life,life,y_young,young,y_forest,forest,y_tas,tas,capital_en,capital_ja,name_ja_hira
STP,サントメ・プリンシペ,Sao Tome and Principe,230871,678976264.8,5541.301676,1279325859.0,2023,2023,2023,960.0,240.490625,2023,61.4607,2022,68.794,2023,38.28038541,2022,52.77083333,2023,24.66,Sao Tome,サントメ島,さんとめ・ぷりんしぺ
SPM,サンピエール島・ミクロン島,Saint Pierre and Miquelon,5681,0.0,0.0,0.0,0,0,2023,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2023,5.77,Saint-Pierre,サンピエール,さんぴえーるとう
SMR,サンマリノ,San Marino,33733,1831700577.0,70933.80538,2392810057.0,2022,2022,2023,60.0,562.2166667,2023,87.0278,0,0.0,2023,12.69547173,2022,16.66666667,2023,13.94,San Marino,サンマリノ,さんまりの
BLM,サン・バルテルミー,Saint Barthélemy,11085,0.0,0.0,0.0,0,0,2023,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2023,0.0,Gustavia,グスタビア,さん・ばるてるみー
MAF,サン・マルタン（フランス領）,Saint Martin (French part),27515,649206262.8,0.0,0.0,2021,0,2023,50.0,550.3,0,0.0,2022,80.55,2023,21.13067655,2022,24.8,2023,28.35,Marigot,マリゴット,さん・まるたん
ZMB,ザンビア,Zambia,20723965,27577956471.0,3673.484197,76129157927.0,2023,2023,2023,752610.0,27.53612761,2023,33.0425,2022,61.803,2023,41.95512056,2022,59.77696915,2023,22.04,Lusaka,ルサカ,ざんびあ
SLE,シエラレオネ,Sierra Leone,8460512,6411869546.0,3034.218943,25671045780.0,2023,2023,2023,72300.0,117.0195297,2023,20.635,2022,60.411,2023,38.53171061,2022,34.57218066,2023,27.22,Freetown,フリータウン,しえられおね
SYR,シリア,Syrian Arab Republic,23594623,23622827080.0,4241.038106,100065695234.0,2022,2022,2023,185180.0,127.4145318,2019,34.65,2022,72.3,2023,30.33552814,2022,2.819315371,2023,19.75,Damascus,ダマスカス,しりあ
SGP,シンガポール,Singapore,5789090,501427500080.0,130375.9074,754757861692.0,2023,2023,2023,728.0,7952.046703,2023,94.2852,2022,82.89512195,2023,11.78747539,2022,21.18384401,2023,28.1,Singapore,シンガポール,しんがぽーる
SXM,シント・マールテン（オランダ領）,Sint Maarten (Dutch part),42749,1627776949.0,44894.69346,1919203251.0,2023,2023,2023,34.0,1257.323529,0,0.0,2022,74.409,2023,15.56059791,2022,10.88235294,2023,28.35,Philipsburg,フィリップスバーグ,しんと・まーるてん
DJI,ジブチ,Djibouti,1152944,4098530514.0,6400.620163,7379556614.0,2023,2023,2023,23200.0,49.69586207,2023,65.0248,2022,62.859,2023,29.57460621,2022,0.2573080242,2023,28.6,Djibouti,ジブチ,じぶち
GIB,ジブラルタル,Gibraltar,38471,0.0,0.0,0.0,0,0,2023,10.0,3847.1,2016,94.4445,2022,82.83,2023,17.79285426,0,0.0,2023,19.28,Gibraltar,ジブラルタル,じぶらるたる
JAM,ジャマイカ,Jamaica,2839786,19423355409.0,10291.31267,29225125642.0,2023,2023,2023,10990.0,258.3972702,2023,83.3883,2022,70.629,2023,19.13411785,2022,55.83204986,2023,26.65,Kingston,キングストン,じゃまいか
JEY,ジャージー,Jersey,103674,0.0,0.0,0.0,0,0,2023,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2023,13.7,Saint Helier,セント・ヘリア,じゃーじー
GEO,ジョージア,Georgia,3807492,30777833585.0,22044.62354,83934727777.0,2023,2023,2023,69700.0,54.62685796,2023,81.8843,2022,71.587,2023,21.04080586,2022,40.61591596,2023,10.35,Tbilisi,トビリシ,じょーじあ
ZWE,ジンバブエ,Zimbabwe,16340822,35231367886.0,3442.251327,56249216207.0,2023,2023,2023,390760.0,41.818052,2023,38.4266,2022,59.391,2023,41.32328353,2022,44.8557322,2023,22.07,Harare,ハラレ,じんばぶえ
CHE,スイス,Switzerland,8870561,884940402230.0,81845.30831,726013799958.0,2023,2023,2023,41290.7,214.8319355,2023,97.3444,2022,83.45365854,2023,15.01098972,2022,32.2956707,2023,7.97,Bern,ベルン,すいす
SWE,スウェーデン,Sweden,10551494,584960475767.0,62576.95199,660280333445.0,2023,2023,2023,528860.0,19.95139356,2023,95.7033,2022,83.1097561,2023,17.24978472,2022,68.69966608,2023,3.38,Stockholm,ストックホルム,すうぇーでん
ESP,スペイン,Spain,47911579,1620090734957.0,47729.15907,2286779375592.0,2023,2023,2023,505978.281,94.69097943,2023,95.4456,2022,83.08292683,2023,13.25865076,2022,37.18279228,2023,15.15,Madrid,マドリッド,すぺいん
SUR,スリナム,Suriname,628886,3455146281.0,19043.70529,11976319643.0,2023,2023,2023,163820.0,3.838884141,2023,78.3958,2022,70.289,2023,25.94635594,2022,94.52387398,2023,27.13,Paramaribo,パラマリボ,すりなむ
LKA,スリランカ,Sri Lanka,22971617,84356863744.0,12499.40825,287131619018.0,2023,2023,2023,65610.0,350.1237159,2023,51.2,2022,76.61,2023,22.36127304,2022,34.05593275,2023,27.41,Colombo,コロンボ,すりらんか
SVK,スロバキア,Slovakia,5518055,132908336234.0,38523.55216,212575079620.0,2023,2023,2023,49030.0,112.5444626,2024,89.8251,2022,77.06585366,2023,15.90717344,2022,40.05615641,2023,10.51,Bratislava,ブラチスラバ,すろばきあ
SVN,スロベニア,Slovenia,2118396,69148468417.0,47871.84984,101411535206.0,2023,2023,2023,20480.0,103.4373047,2023,90.3779,2022,81.28292683,2023,14.9298337,2022,61.27019229,2023,11.31,Ljubljana,リュブリャナ,すろべにあ
SDN,スーダン,Sudan,50042791,109265503111.0,2469.19454,123565386328.0,2023,2023,2023,1878000.0,26.64685357,2020,26.4383,2022,65.578,2023,40.64943181,2022,9.644127409,2023,27.8,Khartoum,ハルツーム,すーだん
GNQ,赤道ギニア,Equatorial Guinea,1847549,12337550584.0,15688.23842,28984789203.0,2023,2023,2023,28050.0,65.86627451,2023,60.3661,2022,61.19,2023,37.48433736,2022,86.6916221,2023,24.7,Malabo,マラボ,せきどう
SEN,セネガル,Senegal,18077573,30848333084.0,4317.226392,78044975252.0,2023,2023,2023,196710.0,91.89961364,2023,60.6122,2022,67.913,2023,38.62959816,2022,41.49046902,2023,29.69,Dakar,ダカール,せねがる
SRB,セルビア,Serbia,6773201,81342660752.0,25148.79866,170337868203.0,2023,2023,2023,84990.0,79.69409342,2023,85.3575,2022,75.48219512,2023,14.35029021,2022,32.38581639,2023,13.02,Belgrade,ベオグラード,せるびあ
KNA,セントクリストファー・ネイビス,Saint Kitts and Nevis,46758,1055499778.0,30409.40411,1421882917.0,2023,2023,2023,260.0,179.8384615,2023,76.4208,2022,72.027,2023,18.3348304,2022,42.30769231,2023,28.14,Basseterre,バセテール,せんとくりすとふぁー・ねいびす
VCT,セントビンセント・グレナディーン,Saint Vincent and the Grenadines,101323,1065962963.0,18335.21208,1857778694.0,2023,2023,2023,390.0,259.8025641,2023,75.9927,2022,68.972,2023,21.6467221,2022,73.17948718,2023,26.64,Kingstown,キングスタウン,せんとびんせんと・ぐれなでぃーん
